name,discount_in_percent,price_in_brl,rating_in_percent,end_time_in_seconds,start_time_in_second,release_time_in_second
Edna & Harvey: Harvey's New Eyes,90,6.19,85.8,1637690400,1636480884,1350345600
Cargo Commander,75,1.62,77.21,1636999200,1636394801,1351728000
Chaos on Deponia,90,21.89,87.04,1637085600,1635920115,1352160000
Rocksmith® 2014 Edition - Remastered,70,26.99,89.91,0,1636402503,1475539200
"Hamlet or the Last Game without MMORPG Features, Shaders ...",89,1.15,61.61,1636999200,1635440821,1350864000
Giana Sisters: Twisted Dreams,80,5.59,75.11,1636999200,1636394801,1350864000
Brothers - A Tale of Two Sons,75,6.99,92.83,1636740000,1636182312,1378166400
Age of Wonders III,75,13.99,78.12,1636999200,1636394802,1396224000
Galactic Civilizations III,50,37.74,75.06,1636999200,1636394802,1431561600
A Valley Without Wind 2,75,6.99,47.71,1636999200,1635789866,1361145600
La-Mulana,67,9.23,77.6,1636740000,1636182568,1365984000
The Night of the Rabbit,90,6.19,85.98,1637690400,1636480884,1369699200
Stronghold Crusader 2,80,27.19,67.58,1636999200,1636394801,1411344000
Ken Follett's The Pillars of the Earth,90,6.59,89.68,1637690400,1636480882,1502755200
Shattered Haven,75,4.99,35.17,1636999200,1635792507,1363564800
PlayClaw 5 - Game Recording and Streaming,67,24.08,67.34,1636999200,1636394801,1378771200
Contagion,50,9.99,70.64,1637604000,1636394802,1382659200
Skyward Collapse,75,2.62,45.73,1636999200,1635789867,1369267200
Bionic Dues,75,4.99,71.47,1636999200,1635789867,1381190400
Inquisitor,66,5.09,65.38,1636999200,1636394802,1346803200
Goodbye Deponia,90,21.89,85.01,1637085600,1635920116,1381968000
Banished,66,11.89,88.45,1636999200,1636394802,1392681600
The Dark Eye: Memoria,90,6.19,85.42,1637690400,1636480885,1377734400
SNOW - The Ultimate Edition,75,7.24,64.78,1637344800,1636131931,1605052800
Plague Inc: Evolved,66,9.51,92.58,1636999200,1636394801,1455753600
Lords of the Black Sun,85,8.39,25.09,1636999200,1636394801,1410480000
Deadly Premonition: The Director's Cut,80,9.19,66.4,1637172000,1636394801,1383004800
Dino Run DX,75,2.99,87.63,1637085600,1635872722,1443484800
Dominions 3: The Awakening,50,18.49,73.92,1636999200,1636394801,1378771200
Risen 3 - Titan Lords,75,6.99,71.78,1636999200,1636394801,1407801600
Blackguards,90,1.99,60.94,1637690400,1636480884,1390348800
TorqueL,80,2.17,71.94,1636740000,1636182313,1421884800
Bridge Constructor,88,2.03,72.75,1637172000,1636394801,1381881600
Paranautical Activity: Deluxe Atonement Edition,85,2.54,66.13,1636999200,1636394801,1360800000
The Inner World,85,3.74,85.97,1637172000,1636394801,1380240000
SteamWorld Dig,80,4.13,90.18,1637172000,1636394805,1386201600
Nihilumbra,70,4.79,85.44,1636999200,1636394805,1380067200
Halfway,80,5.19,72.07,1636653600,1636394805,1405987200
Project Nimbus: Complete Edition,66,12.91,82.92,1636740000,1636182315,1506384000
Bloody Trapland,80,2.17,80.01,1636999200,1636394805,1382832000
Oozi: Earth Adventure,80,2.09,81.52,1636999200,1635789867,1386201600
Void Destroyer,55,9.31,59.3,1637172000,1635962898,1421712000
Flockers™,85,5.54,71.2,1636999200,1636394803,1411084800
Holy Avatar vs. Maidens of the Dead,90,1.99,54.8,1637172000,1636394803,1392854400
Blockstorm,80,2.09,78.07,1636999200,1636394803,1432166400
Mitsurugi Kamui Hikae,80,3.99,77.8,1636740000,1636182579,1394409600
FootLOL: Epic Soccer League,80,3.99,79.65,1636740000,1636182315,1375833600
Out There Somewhere,50,1.14,90.05,1637085600,1635872721,1457913600
Deadly 30,80,1.69,73.04,1637172000,1636394803,1389139200
Meridian: New World,80,2.79,48.45,1637172000,1636394803,1396569600
Worlds of Magic,90,4.49,46.91,1637604000,1636394805,1426723200
One Way Heroics,70,1.79,90.72,1636740000,1636182595,1393545600
Helicopter Simulator 2014: Search and Rescue,90,1.99,34.92,1637431200,1636218316,1393545600
GameGuru,75,18.24,70.04,1636999200,1636394805,1431993600
Ethan: Meteor Hunter,80,3.39,58.9,1636999200,1636394805,1391731200
The Whispered World Special Edition,90,2.99,72.93,1637258400,1636045525,1399334400
Edge Of Eternity,40,38.39,76.37,1636653600,1636394805,1623110400
WORLD END ECONOMiCA episode.01,50,12.99,80.11,1636740000,1636182315,1399248000
Chronology,89,1.15,82.33,1637172000,1635962896,1399852800
BADLAND: Game of the Year Edition,80,3.99,82.49,1636999200,1636394805,1432598400
Car Mechanic Simulator 2014,90,1.39,80.13,1637344800,1636131934,1390521600
The Last Federation,75,9.24,71.53,1636999200,1635789867,1397779200
Brigador: Up-Armored Edition,55,16.64,91.59,1636999200,1636394805,1464825600
Shiny The Firefly,80,3.99,56.0,1637172000,1636394805,1400198400
"About Love, Hate and the other ones",90,1.39,84.6,1636999200,1636394805,1418342400
On Rusty Trails,90,2.59,82.4,1636999200,1636394805,1465776000
